fid,ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1,pop_sum
1,33,BRA,Brazil,1,Acre,Estado,State,,,849528
2,33,BRA,Brazil,2,Alagoas,Estado,State,,,3162342
3,33,BRA,Brazil,3,Amapá,Estado,State,,,773506
4,33,BRA,Brazil,4,Amazonas,Estado,State,,Amazone,4205119
5,33,BRA,Brazil,5,Bahia,Estado,State,,Ba¡a,14314989
6,33,BRA,Brazil,6,Ceará,Estado,State,,,9116756
7,33,BRA,Brazil,7,Distrito Federal,Distrito Federal,Federal District,,,2997863
8,33,BRA,Brazil,8,Espírito Santo,Estado,State,,Espiritu Santo,3950544
9,33,BRA,Brazil,9,Goiás,Estado,State,,Goiáz|Goyáz,7586313
10,33,BRA,Brazil,10,Maranhão,Estado,State,,São Luíz de Maranhão,6977036
11,33,BRA,Brazil,11,Mato Grosso do Sul,Estado,State,,,2916421
12,33,BRA,Brazil,12,Mato Grosso,Estado,State,,Matto Grosso,3939619
13,33,BRA,Brazil,13,Minas Gerais,Estado,State,,Minas|Minas Geraes,21396308
14,33,BRA,Brazil,14,Pará,Estado,State,,,8444756
15,33,BRA,Brazil,15,Paraíba,Estado,State,,Parahyba,4124511
16,33,BRA,Brazil,16,Paraná,Estado,State,,,12074187
17,33,BRA,Brazil,17,Pernambuco,Estado,State,,Pernambouc,9305952
18,33,BRA,Brazil,18,Piauí,Estado,State,,Piauhy,3398920
19,33,BRA,Brazil,19,Rio de Janeiro,Estado,State,,,16390743
20,33,BRA,Brazil,20,Rio Grande do Norte,Estado,State,,,3401983
21,33,BRA,Brazil,21,Rio Grande do Sul,Estado,State,,,11151572
22,33,BRA,Brazil,22,Rondônia,Estado,State,,Guaporé,1611552
23,33,BRA,Brazil,23,Roraima,Estado,State,,Rio Branco,704156
24,33,BRA,Brazil,24,São Paulo,Estado,State,,,46718316
25,33,BRA,Brazil,25,Santa Catarina,Estado,State,,Santa Catharina,8108526
26,33,BRA,Brazil,26,Sergipe,Estado,State,,,2301293
27,33,BRA,Brazil,27,Tocantins,Estado,State,,,1583797
