fid,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,pop_sum
1,33,BRA,Brazil,1,Acre,1,Acrelândia,Município,Municipality,,,13325
2,33,BRA,Brazil,1,Acre,2,Assis Brazil,Município,Municipality,,,6876
3,33,BRA,Brazil,1,Acre,3,Brasiléia,Município,Municipality,,,29291
4,33,BRA,Brazil,1,Acre,4,Bujari,Município,Municipality,,,14924
5,33,BRA,Brazil,1,Acre,5,Capixaba,Município,Municipality,,,11278
6,33,BRA,Brazil,1,Acre,6,Cruzeiro do Sul,Município,Municipality,,,71288
7,33,BRA,Brazil,1,Acre,7,Epitaciolândia,Município,Municipality,,,19789
8,33,BRA,Brazil,1,Acre,8,Feijó,Município,Municipality,,,34395
9,33,BRA,Brazil,1,Acre,9,Jordão,Município,Municipality,,,10078
10,33,BRA,Brazil,1,Acre,10,Mâncio Lima,Município,Municipality,,,20707
11,33,BRA,Brazil,1,Acre,11,Manoel Urbano,Município,Municipality,,,13032
12,33,BRA,Brazil,1,Acre,12,Marechal Thaumaturgo,Município,Municipality,,,18283
13,33,BRA,Brazil,1,Acre,13,Plácido de Castro,Município,Municipality,,,16878
14,33,BRA,Brazil,1,Acre,14,Porto Acre,Município,Municipality,,,19406
15,33,BRA,Brazil,1,Acre,15,Porto Walter,Município,Municipality,,,11458
16,33,BRA,Brazil,1,Acre,16,Rio Branco,Município,Municipality,,,371234
17,33,BRA,Brazil,1,Acre,17,Rodrigues Alves,Município,Municipality,,,14533
18,33,BRA,Brazil,1,Acre,18,Santa Rosa do Purus,Município,Municipality,,,6431
19,33,BRA,Brazil,1,Acre,19,Sena Madureira,Município,Municipality,,,43664
20,33,BRA,Brazil,1,Acre,20,Senador Guiomard,Município,Municipality,,,37737
21,33,BRA,Brazil,1,Acre,21,Tarauacá,Município,Municipality,,,45346
22,33,BRA,Brazil,1,Acre,22,Xapuri,Município,Municipality,,,19573
23,33,BRA,Brazil,2,Alagoas,23,Água Branca,Município,Municipality,,,19184
24,33,BRA,Brazil,2,Alagoas,24,Anadia,Município,Municipality,,,12593
25,33,BRA,Brazil,2,Alagoas,25,Arapiraca,Município,Municipality,,,253278
26,33,BRA,Brazil,2,Alagoas,26,Ataléia,Município,Municipality,,,34863
27,33,BRA,Brazil,2,Alagoas,27,Barra de São Miguel,Município,Municipality,,,6675
28,33,BRA,Brazil,2,Alagoas,28,Barra de Santo Antônio,Município,Municipality,,,16322
29,33,BRA,Brazil,2,Alagoas,29,Batalha,Município,Municipality,,,17700
30,33,BRA,Brazil,2,Alagoas,30,Belém,Município,Municipality,,,3165
31,33,BRA,Brazil,2,Alagoas,31,Belo Monte,Município,Municipality,,,5898
32,33,BRA,Brazil,2,Alagoas,32,Boca da Mata,Município,Municipality,,,19101
33,33,BRA,Brazil,2,Alagoas,33,Branquinha,Município,Municipality,,,9318
34,33,BRA,Brazil,2,Alagoas,34,Cacimbinhas,Município,Municipality,,,10518
35,33,BRA,Brazil,2,Alagoas,35,Cajueiro,Município,Municipality,,,15417
36,33,BRA,Brazil,2,Alagoas,36,Campestre,Município,Municipality,,,6702
37,33,BRA,Brazil,2,Alagoas,37,Campo Alegre,Município,Municipality,,,25417
38,33,BRA,Brazil,2,Alagoas,38,Campo Grande,Município,Municipality,,,6872
39,33,BRA,Brazil,2,Alagoas,39,Canapi,Município,Municipality,,,13896
40,33,BRA,Brazil,2,Alagoas,40,Capela,Município,Municipality,,,12975
41,33,BRA,Brazil,2,Alagoas,41,Carneiros,Município,Municipality,,,9283
42,33,BRA,Brazil,2,Alagoas,42,Chã Preta,Município,Municipality,,,6361
