fid,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,TYPE_3,ENGTYPE_3,NL_NAME_3,VARNAME_3,pop_sum
1,33,BRA,Brazil,1,Acre,1,Acrelândia,1,Acrelândia,Distrito,District,,,13325
2,33,BRA,Brazil,1,Acre,2,Assis Brazil,2,Assis Brazil,Distrito,District,,,6876
3,33,BRA,Brazil,1,Acre,3,Brasiléia,3,Brazileia,Distrito,District,,,29291
4,33,BRA,Brazil,1,Acre,4,Bujari,4,Bujari,Distrito,District,,,14924
5,33,BRA,Brazil,1,Acre,5,Capixaba,5,Capixaba,Distrito,District,,,11278
6,33,BRA,Brazil,1,Acre,6,Cruzeiro do Sul,6,Cruzeiro do Sul,Distrito,District,,,71288
7,33,BRA,Brazil,1,Acre,7,Epitaciolândia,7,Epitaciolândia,Distrito,District,,,19789
8,33,BRA,Brazil,1,Acre,8,Feijó,8,Feijó,Distrito,District,,,34395
9,33,BRA,Brazil,1,Acre,9,Jordão,9,Jordão,Distrito,District,,,10078
10,33,BRA,Brazil,1,Acre,10,Mâncio Lima,10,Mâncio Lima,Distrito,District,,,20707
11,33,BRA,Brazil,1,Acre,11,Manoel Urbano,11,Manoel Urbano,Distrito,District,,,13032
12,33,BRA,Brazil,1,Acre,12,Marechal Thaumaturgo,12,Marechal Thaumaturgo,Distrito,District,,,18283
13,33,BRA,Brazil,1,Acre,13,Plácido de Castro,13,Plácido de Castro,Distrito,District,,,16878
14,33,BRA,Brazil,1,Acre,14,Porto Acre,14,Porto Acre,Distrito,District,,,19406
15,33,BRA,Brazil,1,Acre,15,Porto Walter,15,Porto Walter,Distrito,District,,,11458
16,33,BRA,Brazil,1,Acre,16,Rio Branco,16,Rio Branco,Distrito,District,,,371234
17,33,BRA,Brazil,1,Acre,17,Rodrigues Alves,17,Rodrigues Alves,Distrito,District,,,14533
18,33,BRA,Brazil,1,Acre,18,Santa Rosa do Purus,18,Santa Rosa do Purus,Distrito,District,,,6431
19,33,BRA,Brazil,1,Acre,19,Sena Madureira,19,Sena Madureira,Distrito,District,,,43664
20,33,BRA,Brazil,1,Acre,20,Senador Guiomard,20,Senador Guiomard,Distrito,District,,,37737
21,33,BRA,Brazil,1,Acre,21,Tarauacá,21,Tarauacá,Distrito,District,,,45346
22,33,BRA,Brazil,1,Acre,22,Xapuri,22,Xapuri,Distrito,District,,,19573
23,33,BRA,Brazil,2,Alagoas,23,Água Branca,23,Água Branca,Distrito,District,,,19184
24,33,BRA,Brazil,2,Alagoas,24,Anadia,24,Anadia,Distrito,District,,,12593
25,33,BRA,Brazil,2,Alagoas,25,Arapiraca,25,Arapiraca,Distrito,District,,,253278
26,33,BRA,Brazil,2,Alagoas,26,Ataléia,26,Atalaia,Distrito,District,,,22846
27,33,BRA,Brazil,2,Alagoas,26,Ataléia,27,Sapucaia,Distrito,District,,,12017
28,33,BRA,Brazil,2,Alagoas,27,Barra de São Miguel,28,Barra de São Miguel,Distrito,District,,,6675
29,33,BRA,Brazil,2,Alagoas,28,Barra de Santo Antônio,29,Barra de Santo Antônio,Distrito,District,,,16322
30,33,BRA,Brazil,2,Alagoas,29,Batalha,30,Batalha,Distrito,District,,,17700
31,33,BRA,Brazil,2,Alagoas,30,Belém,31,Belém,Distrito,District,,,3165
32,33,BRA,Brazil,2,Alagoas,31,Belo Monte,32,Belo Monte,Distrito,District,,,5898
33,33,BRA,Brazil,2,Alagoas,32,Boca da Mata,33,Boca da Mata,Distrito,District,,,19101
34,33,BRA,Brazil,2,Alagoas,33,Branquinha,34,Branquinha,Distrito,District,,,9318
35,33,BRA,Brazil,2,Alagoas,34,Cacimbinhas,35,Cacimbinhas,Distrito,District,,,10518
36,33,BRA,Brazil,2,Alagoas,35,Cajueiro,36,Cajueiro,Distrito,District,,,15417
37,33,BRA,Brazil,2,Alagoas,36,Campestre,37,Campestre,Distrito,District,,,6702
38,33,BRA,Brazil,2,Alagoas,37,Campo Alegre,38,Campo Alegre,Distrito,District,,,25417
39,33,BRA,Brazil,2,Alagoas,38,Campo Grande,39,Campo Grande,Distrito,District,,,6872
40,33,BRA,Brazil,2,Alagoas,39,Canapi,40,Canapi,Distrito,District,,,13896
41,33,BRA,Brazil,2,Alagoas,40,Capela,41,Capela,Distrito,District,,,11151
42,33,BRA,Brazil,2,Alagoas,40,Capela,42,Santa Efigenia,Distrito,District,,,1823
43,33,BRA,Brazil,2,Alagoas,41,Carneiros,43,Carneiros,Distrito,District,,,9283
44,33,BRA,Brazil,2,Alagoas,42,Chã Preta,44,Chã Preta,Distrito,District,,,6361
45,33,BRA,Brazil,2,Alagoas,43,Coité do Nóia,45,Coité do Nóia,Distrito,District,,,11011
46,33,BRA,Brazil,2,Alagoas,44,Colônia Leopoldina,46,Colônia Leopoldina,Distrito,District,,,16041
47,33,BRA,Brazil,2,Alagoas,45,Coqueiro Seco,47,Coqueiro Seco,Distrito,District,,,5845
48,33,BRA,Brazil,2,Alagoas,46,Coruripe,48,Coruripe,Distrito,District,,,46299
49,33,BRA,Brazil,2,Alagoas,46,Coruripe,49,Poxim,Distrito,District,,,6279
50,33,BRA,Brazil,2,Alagoas,47,Craíbas,50,Craíbas,Distrito,District,,,26473
51,33,BRA,Brazil,2,Alagoas,48,Delmiro Gouveia,51,Delmiro Gouveia,Distrito,District,,,53600
52,33,BRA,Brazil,2,Alagoas,49,Dois Riachos,52,Dois Riachos,Distrito,District,,,9312
53,33,BRA,Brazil,2,Alagoas,50,Estrela de Alagoas,53,Estrela de Alagoas,Distrito,District,,,14947
